station_id,year_month,NO2_sat
pt_54,2023_07,17.216888
pt_55,2023_07,17.216888
pt_56,2023_07,17.216888
pt_57,2023_07,17.216888
pt_58,2023_07,17.216888
pt_59,2023_07,17.216888
pt_60,2023_07,17.216888
pt_61,2023_07,17.216888
pt_62,2023_07,17.216888
pt_63,2023_07,17.216888
pt_64,2023_07,17.216888
pt_65,2023_07,17.216888
pt_66,2023_07,17.216888
pt_67,2023_07,17.216888
pt_68,2023_07,17.216888
pt_69,2023_07,17.216888
pt_70,2023_07,17.216888
pt_71,2023_07,17.216888
pt_72,2023_07,17.216888
pt_1,2023_08,24.033073
pt_2,2023_08,24.033073
pt_3,2023_08,24.033073
pt_4,2023_08,24.033073
pt_5,2023_08,24.033073
pt_6,2023_08,24.033073
pt_7,2023_08,24.033073
pt_8,2023_08,24.033073
pt_9,2023_08,24.033073
pt_10,2023_08,24.033073
pt_11,2023_08,24.033073
pt_12,2023_08,24.033073
pt_13,2023_08,24.033073
pt_14,2023_08,24.033073
pt_15,2023_08,24.033073
pt_16,2023_08,24.033073
pt_17,2023_08,24.033073
pt_18,2023_08,24.033073
pt_19,2023_08,24.033073
pt_20,2023_08,24.033073
pt_21,2023_08,24.033073
pt_22,2023_08,24.033073
pt_23,2023_08,24.033073
pt_24,2023_08,24.033073
pt_25,2023_08,24.033073
pt_26,2023_08,24.033073
pt_27,2023_08,24.033073
pt_28,2023_08,24.033073
pt_29,2023_08,24.033073
pt_30,2023_08,24.033073
pt_31,2023_08,24.033073
pt_32,2023_08,24.033073
pt_33,2023_08,24.033073
pt_34,2023_08,24.033073
pt_35,2023_08,24.033073
pt_36,2023_08,24.033073
pt_37,2023_08,24.033073
pt_38,2023_08,24.033073
pt_39,2023_08,24.033073
pt_40,2023_08,24.033073
pt_41,2023_08,24.033073
pt_42,2023_08,24.033073
pt_43,2023_08,24.033073
pt_44,2023_08,24.033073
pt_45,2023_08,24.033073
pt_46,2023_08,24.033073
pt_47,2023_08,24.033073
pt_48,2023_08,24.033073
pt_49,2023_08,24.033073
pt_50,2023_08,24.033073
pt_51,2023_08,24.033073
pt_52,2023_08,24.033073
pt_53,2023_08,24.033073
pt_54,2023_08,24.033073
pt_55,2023_08,24.033073
pt_56,2023_08,24.033073
pt_57,2023_08,24.033073
pt_58,2023_08,24.033073
pt_59,2023_08,24.033073
pt_60,2023_08,24.033073
pt_61,2023_08,24.033073
pt_62,2023_08,24.033073
pt_63,2023_08,24.033073
pt_64,2023_08,24.033073
pt_65,2023_08,24.033073
pt_66,2023_08,24.033073
pt_67,2023_08,24.033073
pt_68,2023_08,24.033073
pt_69,2023_08,24.033073
pt_70,2023_08,24.033073
pt_71,2023_08,24.033073
pt_72,2023_08,24.033073
pt_1,2023_09,27.110510
pt_2,2023_09,27.110510
pt_3,2023_09,27.110510
pt_4,2023_09,27.110510
pt_5,2023_09,27.110510
pt_6,2023_09,27.110510
pt_7,2023_09,27.110510
pt_8,2023_09,27.110510
pt_9,2023_09,27.110510
pt_10,2023_09,27.110510
pt_11,2023_09,27.110510
pt_12,2023_09,27.110510
pt_13,2023_09,27.110510
pt_14,2023_09,27.110510
pt_15,2023_09,27.110510
pt_16,2023_09,27.110510
pt_17,2023_09,27.110510
pt_18,2023_09,27.110510
pt_19,2023_09,27.110510
pt_20,2023_09,27.110510
pt_21,2023_09,27.110510
pt_22,2023_09,27.110510
pt_23,2023_09,27.110510
pt_24,2023_09,27.110510
pt_25,2023_09,27.110510
pt_26,2023_09,27.110510
pt_27,2023_09,27.110510
pt_28,2023_09,27.110510
pt_29,2023_09,27.110510
pt_30,2023_09,27.110510
pt_31,2023_09,27.110510
pt_32,2023_09,27.110510
pt_33,2023_09,27.110510
pt_34,2023_09,27.110510
pt_35,2023_09,27.110510
pt_36,2023_09,27.110510
pt_37,2023_09,27.110510
pt_38,2023_09,27.110510
pt_39,2023_09,27.110510
pt_40,2023_09,27.110510
pt_41,2023_09,27.110510
pt_42,2023_09,27.110510
pt_43,2023_09,27.110510
pt_44,2023_09,27.110510
pt_45,2023_09,27.110510
pt_46,2023_09,27.110510
pt_47,2023_09,27.110510
pt_48,2023_09,27.110510
pt_49,2023_09,27.110510
pt_50,2023_09,27.110510
pt_51,2023_09,27.110510
pt_52,2023_09,27.110510
pt_53,2023_09,27.110510
pt_54,2023_09,27.110510
pt_55,2023_09,27.110510
pt_56,2023_09,27.110510
pt_57,2023_09,27.110510
pt_58,2023_09,27.110510
pt_59,2023_09,27.110510
pt_60,2023_09,27.110510
pt_61,2023_09,27.110510
pt_62,2023_09,27.110510
pt_63,2023_09,27.110510
pt_64,2023_09,27.110510
pt_65,2023_09,27.110510
pt_66,2023_09,27.110510
pt_67,2023_09,27.110510
pt_68,2023_09,27.110510
pt_69,2023_09,27.110510
pt_70,2023_09,27.110510
pt_71,2023_09,27.110510
pt_72,2023_09,27.110510
pt_1,2023_10,27.995611
pt_2,2023_10,27.995611
pt_3,2023_10,27.995611
pt_4,2023_10,27.995611
pt_5,2023_10,27.995611
pt_6,2023_10,27.995611
pt_7,2023_10,27.995611
pt_8,2023_10,27.995611
pt_9,2023_10,27.995611
pt_10,2023_10,27.995611
pt_11,2023_10,27.995611
pt_12,2023_10,27.995611
pt_13,2023_10,27.995611
pt_14,2023_10,27.995611
pt_15,2023_10,27.995611
pt_16,2023_10,27.995611
pt_17,2023_10,27.995611
pt_18,2023_10,27.995611
pt_19,2023_10,27.995611
pt_20,2023_10,27.995611
pt_21,2023_10,27.995611
pt_22,2023_10,27.995611
pt_23,2023_10,27.995611
pt_24,2023_10,27.995611
pt_25,2023_10,27.995611
pt_26,2023_10,27.995611
